ID;Gender;Ever_Married;Age;Graduated;Profession;Work_Experience;Spending_Score;Family_Size;Var_1;Work_Experience_Imputed;Family_Size_Imputed
458989;F;Yes;36;Yes;Engineer;0.0;Low;1.0;Cat_6;0.0;1.0
458994;M;Yes;37;Yes;Healthcare;8.0;Average;4.0;Cat_6;8.0;4.0
458996;F;Yes;69;No;Unknown;0.0;Low;1.0;Cat_6;0.0;1.0
459000;M;Yes;59;No;Executive;11.0;High;2.0;Cat_6;11.0;2.0
459001;F;No;19;No;Marketing;;Low;4.0;Cat_6;2.552586938083121;4.0
459003;M;Yes;47;Yes;Doctor;0.0;High;5.0;Cat_4;0.0;5.0
459005;M;Yes;61;Yes;Doctor;5.0;Low;3.0;Cat_6;5.0;3.0
459008;F;Yes;47;Yes;Artist;1.0;Average;3.0;Cat_6;1.0;3.0
459013;M;Yes;50;Yes;Artist;2.0;Average;4.0;Cat_6;2.0;4.0
459014;M;No;19;No;Healthcare;0.0;Low;4.0;Cat_6;0.0;4.0
459015;M;No;22;No;Healthcare;0.0;Low;3.0;Cat_6;0.0;3.0
459016;F;No;22;No;Healthcare;0.0;Low;6.0;Cat_6;0.0;6.0
459024;M;Yes;50;Yes;Artist;1.0;Average;5.0;Cat_6;1.0;5.0
459026;M;No;27;No;Healthcare;8.0;Low;3.0;Cat_3;8.0;3.0
459032;M;No;18;No;Doctor;0.0;Low;3.0;Cat_6;0.0;3.0
459033;F;Yes;61;Yes;Artist;0.0;Low;1.0;Cat_6;0.0;1.0
459036;F;Yes;20;Yes;Lawyer;1.0;Average;3.0;Cat_3;1.0;3.0
459039;M;Yes;45;Yes;Artist;1.0;Average;2.0;Cat_6;1.0;2.0
459041;M;Yes;55;Yes;Artist;8.0;Low;1.0;Cat_6;8.0;1.0
459045;F;Yes;88;Yes;Lawyer;1.0;Average;4.0;Cat_6;1.0;4.0
459056;M;Yes;63;No;Executive;;High;3.0;Cat_6;2.552586938083121;3.0
459057;M;Yes;69;No;Lawyer;;High;;Cat_6;2.552586938083121;2.0
459058;M;No;42;Yes;Artist;0.0;Low;4.0;Cat_3;0.0;4.0
459059;M;Yes;79;No;Executive;;High;2.0;Cat_6;2.552586938083121;2.0
459061;F;Yes;35;Yes;Healthcare;9.0;High;3.0;Cat_6;9.0;3.0
459064;M;Yes;27;No;Executive;5.0;High;4.0;Cat_6;5.0;4.0
459065;M;Yes;52;Yes;Engineer;;Low;2.0;Cat_6;2.552586938083121;2.0
459074;F;No;29;Yes;Healthcare;0.0;Low;4.0;Cat_4;0.0;4.0
459077;F;Yes;79;No;Lawyer;1.0;High;2.0;Cat_6;1.0;2.0
459079;M;Yes;87;Yes;Lawyer;;High;2.0;Cat_6;2.552586938083121;2.0
459080;M;Yes;89;No;Lawyer;1.0;Low;2.0;Cat_6;1.0;2.0
459083;M;Yes;63;Yes;Artist;9.0;Average;3.0;;9.0;3.0
459090;M;No;31;No;Artist;1.0;Low;2.0;Cat_6;1.0;2.0
459091;M;Yes;72;Yes;Artist;1.0;Average;6.0;Cat_1;1.0;6.0
459093;F;Yes;41;Yes;Doctor;9.0;Average;2.0;;9.0;2.0
459100;F;No;61;Yes;Artist;11.0;Low;1.0;Cat_6;11.0;1.0
459106;M;Yes;62;Yes;Artist;0.0;Low;2.0;Cat_6;0.0;2.0
459114;M;Yes;56;Yes;Artist;1.0;Average;2.0;Cat_6;1.0;2.0
459116;M;Yes;60;Yes;Artist;2.0;Average;5.0;Cat_6;2.0;5.0
459117;M;Yes;68;Yes;Artist;0.0;High;2.0;Cat_6;0.0;2.0
459118;M;No;19;No;Healthcare;;Low;8.0;Cat_6;2.552586938083121;8.0
459119;M;Yes;57;Yes;Executive;8.0;High;3.0;Cat_6;8.0;3.0
459120;M;No;19;No;Healthcare;5.0;Low;5.0;Cat_2;5.0;5.0
459121;F;Yes;51;Yes;Artist;3.0;Average;6.0;Cat_6;3.0;6.0
459123;F;Yes;86;No;Artist;1.0;High;2.0;Cat_6;1.0;2.0
459130;F;Yes;74;No;Lawyer;1.0;High;2.0;Cat_6;1.0;2.0
459132;M;No;23;No;Entertainment;6.0;Low;2.0;Cat_6;6.0;2.0
459136;M;Yes;47;Yes;Artist;0.0;Average;2.0;Cat_6;0.0;2.0
459140;F;No;19;No;Healthcare;7.0;Low;6.0;Cat_6;7.0;6.0
459143;M;Yes;50;No;Artist;0.0;High;4.0;Cat_6;0.0;4.0
459144;M;Yes;80;Yes;Lawyer;;High;2.0;Cat_6;2.552586938083121;2.0
459145;M;Yes;78;No;Lawyer;;Low;1.0;Cat_2;2.552586938083121;1.0
459150;F;No;48;Yes;Doctor;0.0;Low;1.0;Cat_6;0.0;1.0
459160;M;Yes;70;Yes;Doctor;1.0;Average;2.0;Cat_6;1.0;2.0
459161;M;Yes;50;Yes;Executive;3.0;High;5.0;Cat_6;3.0;5.0
459162;F;Yes;83;Yes;Lawyer;0.0;High;2.0;Cat_6;0.0;2.0
459163;M;No;35;Yes;Entertainment;0.0;Low;1.0;Cat_6;0.0;1.0
459167;F;No;36;Yes;Artist;0.0;Low;2.0;Cat_5;0.0;2.0
459170;F;No;35;Yes;Artist;1.0;Low;1.0;Cat_6;1.0;1.0
459171;M;Yes;35;Yes;Artist;0.0;Average;2.0;Cat_6;0.0;2.0
459172;M;No;18;No;Healthcare;3.0;Low;3.0;Cat_2;3.0;3.0
459175;F;Yes;73;Yes;Artist;1.0;Average;2.0;Cat_6;1.0;2.0
459181;M;Yes;62;No;Artist;1.0;High;3.0;Cat_6;1.0;3.0
459182;F;Yes;46;Yes;Artist;1.0;Average;2.0;Cat_6;1.0;2.0
459184;M;Yes;43;Yes;Entertainment;0.0;Low;4.0;Cat_4;0.0;4.0
459185;F;No;32;Yes;Entertainment;7.0;Low;1.0;Cat_6;7.0;1.0
459193;M;No;39;Yes;Artist;0.0;Low;1.0;Cat_6;0.0;1.0
459194;F;Yes;89;Yes;Lawyer;0.0;High;2.0;Cat_6;0.0;2.0
459196;F;No;18;No;Healthcare;0.0;Low;3.0;Cat_4;0.0;3.0
459208;F;Yes;57;Yes;Artist;0.0;High;2.0;Cat_3;0.0;2.0
459209;F;No;18;No;Entertainment;0.0;Low;4.0;Cat_6;0.0;4.0
459210;F;Yes;71;Yes;Artist;1.0;High;2.0;Cat_6;1.0;2.0
459212;F;Yes;69;Yes;Artist;0.0;Average;2.0;Cat_6;0.0;2.0
459213;F;No;42;Yes;Healthcare;0.0;Low;4.0;Cat_6;0.0;4.0
459216;F;No;36;Yes;Artist;0.0;Low;2.0;Cat_6;0.0;2.0
459220;F;Yes;80;Yes;Lawyer;1.0;High;2.0;Cat_6;1.0;2.0
459221;M;Yes;69;No;Entertainment;;Low;1.0;Cat_6;2.552586938083121;1.0
459222;F;Yes;67;Yes;Artist;0.0;Average;3.0;Cat_6;0.0;3.0
459223;F;Yes;47;Yes;Doctor;1.0;Average;4.0;Cat_6;1.0;4.0
459224;F;Yes;49;Yes;Artist;0.0;Average;2.0;Cat_6;0.0;2.0
459227;F;Yes;32;No;Engineer;9.0;Low;4.0;Cat_6;9.0;4.0
459229;F;Yes;65;Yes;Lawyer;1.0;Average;4.0;Cat_6;1.0;4.0
459236;F;Yes;78;No;Lawyer;0.0;High;2.0;Cat_6;0.0;2.0
459237;M;No;33;Yes;Artist;1.0;Low;6.0;Cat_6;1.0;6.0
459244;M;Yes;48;Yes;Artist;1.0;Low;1.0;Cat_6;1.0;1.0
459247;M;Yes;58;Yes;Executive;1.0;Average;5.0;Cat_6;1.0;5.0
459258;F;Yes;83;Yes;Lawyer;1.0;High;;Cat_6;1.0;2.0
459263;F;No;30;No;Healthcare;9.0;Low;4.0;Cat_6;9.0;4.0
459264;F;No;35;Yes;Artist;0.0;Low;2.0;Cat_6;0.0;2.0
459266;M;No;32;Yes;Healthcare;6.0;Low;5.0;Cat_6;6.0;5.0
459270;M;Yes;69;Yes;Homemaker;1.0;High;2.0;Cat_6;1.0;2.0
459284;F;Yes;71;Yes;Lawyer;1.0;High;2.0;Cat_6;1.0;2.0
459287;M;No;43;Yes;Lawyer;0.0;Low;1.0;Cat_4;0.0;1.0
459288;M;Yes;37;Yes;Artist;0.0;Low;2.0;Cat_6;0.0;2.0
459289;M;No;42;Yes;Doctor;0.0;Low;1.0;Cat_6;0.0;1.0
459290;F;Yes;70;Yes;Doctor;1.0;Average;2.0;Cat_6;1.0;2.0
459292;M;No;46;Yes;Artist;0.0;Low;2.0;Cat_6;0.0;2.0
459293;M;No;21;No;Healthcare;;Low;;Cat_1;2.552586938083121;2.0
459296;M;Yes;70;Yes;Artist;0.0;Average;2.0;Cat_6;0.0;2.0
459300;F;Yes;61;Yes;Artist;1.0;Low;;Cat_6;1.0;2.0
459307;M;Yes;60;Yes;Entertainment;1.0;Low;1.0;Cat_6;1.0;1.0
459310;M;No;37;Yes;Entertainment;0.0;Low;2.0;Cat_2;0.0;2.0
459316;M;Yes;30;Yes;Healthcare;1.0;Low;2.0;Cat_6;1.0;2.0
459318;F;No;32;Yes;Engineer;1.0;Low;3.0;Cat_6;1.0;3.0
459320;M;Yes;26;Yes;Executive;0.0;Low;3.0;Cat_6;0.0;3.0
459322;M;No;42;Yes;Marketing;0.0;Low;1.0;Cat_6;0.0;1.0
459323;F;No;18;No;Doctor;;Low;;Cat_6;2.552586938083121;2.0
459338;M;Yes;80;No;Executive;;Low;;Cat_6;2.552586938083121;2.0
459339;M;Yes;29;Yes;Healthcare;8.0;High;2.0;Cat_6;8.0;2.0
459344;F;Yes;88;Yes;Artist;1.0;High;2.0;Cat_6;1.0;2.0
459347;M;Yes;70;Yes;Lawyer;1.0;Low;1.0;Cat_6;1.0;1.0
459349;F;Yes;50;Yes;Artist;1.0;High;4.0;Cat_6;1.0;4.0
459352;M;Yes;43;Yes;Doctor;4.0;Average;4.0;Cat_3;4.0;4.0
459353;M;Yes;51;Yes;Artist;6.0;Average;2.0;Cat_6;6.0;2.0
459354;F;Yes;50;Yes;Artist;;High;3.0;Cat_6;2.552586938083121;3.0
459355;F;Yes;74;No;Homemaker;;Low;1.0;Cat_6;2.552586938083121;1.0
459360;F;No;29;Yes;Healthcare;;Low;3.0;Cat_6;2.552586938083121;3.0
459361;F;No;32;Yes;Engineer;;Low;2.0;Cat_6;2.552586938083121;2.0
459362;M;Yes;60;No;Executive;0.0;Low;2.0;Cat_6;0.0;2.0
459363;M;No;46;Yes;Artist;2.0;Low;1.0;Cat_6;2.0;1.0
459364;F;Yes;81;Yes;Marketing;0.0;Low;2.0;Cat_6;0.0;2.0
459369;M;Yes;41;No;Engineer;;Average;7.0;Cat_4;2.552586938083121;7.0
459375;M;Yes;22;No;Executive;0.0;High;4.0;Cat_6;0.0;4.0
459377;M;Yes;37;Yes;Artist;0.0;Average;3.0;Cat_6;0.0;3.0
459383;M;Yes;43;No;Engineer;0.0;Low;1.0;Cat_6;0.0;1.0
459384;M;Yes;50;Yes;Artist;1.0;Average;3.0;Cat_6;1.0;3.0
459385;F;Yes;35;Yes;Artist;1.0;Average;2.0;Cat_7;1.0;2.0
459386;M;Yes;65;No;Lawyer;1.0;High;2.0;Cat_6;1.0;2.0
