ID,Gender,Ever_Married,Age,Graduated,Profession,Spending_Score,Age_Category,Family_Size_Cat
458989,F,Yes,36,Yes,Engineer,Low,Between 30 and 41,1 person
458994,M,Yes,37,Yes,Healthcare,Average,Between 30 and 41,3 or 4 people
458996,F,Yes,69,No,,Low,Over 53,1 person
459000,M,Yes,59,No,Executive,High,Over 53,2 people
459001,F,No,19,No,Marketing,Low,Under 30,3 or 4 people
459003,M,Yes,47,Yes,Doctor,High,Between 41 and 53,5 or more people
459005,M,Yes,61,Yes,Doctor,Low,Over 53,3 or 4 people
459008,F,Yes,47,Yes,Artist,Average,Between 41 and 53,3 or 4 people
459013,M,Yes,50,Yes,Artist,Average,Between 41 and 53,3 or 4 people
459014,M,No,19,No,Healthcare,Low,Under 30,3 or 4 people
459015,M,No,22,No,Healthcare,Low,Under 30,3 or 4 people
459016,F,No,22,No,Healthcare,Low,Under 30,5 or more people
459024,M,Yes,50,Yes,Artist,Average,Between 41 and 53,5 or more people
459026,M,No,27,No,Healthcare,Low,Under 30,3 or 4 people
459032,M,No,18,No,Doctor,Low,Under 30,3 or 4 people
459033,F,Yes,61,Yes,Artist,Low,Over 53,1 person
459036,F,Yes,20,Yes,Lawyer,Average,Under 30,3 or 4 people
459039,M,Yes,45,Yes,Artist,Average,Between 41 and 53,2 people
459041,M,Yes,55,Yes,Artist,Low,Over 53,1 person
459045,F,Yes,88,Yes,Lawyer,Average,Over 53,3 or 4 people
459056,M,Yes,63,No,Executive,High,Over 53,3 or 4 people
459057,M,Yes,69,No,Lawyer,High,Over 53,2 people
459058,M,No,42,Yes,Artist,Low,Between 41 and 53,3 or 4 people
459059,M,Yes,79,No,Executive,High,Over 53,2 people
459061,F,Yes,35,Yes,Healthcare,High,Between 30 and 41,3 or 4 people
459064,M,Yes,27,No,Executive,High,Under 30,3 or 4 people
459065,M,Yes,52,Yes,Engineer,Low,Between 41 and 53,2 people
459074,F,No,29,Yes,Healthcare,Low,Under 30,3 or 4 people
459077,F,Yes,79,No,Lawyer,High,Over 53,2 people
459079,M,Yes,87,Yes,Lawyer,High,Over 53,2 people
459080,M,Yes,89,No,Lawyer,Low,Over 53,2 people
459083,M,Yes,63,Yes,Artist,Average,Over 53,3 or 4 people
459090,M,No,31,No,Artist,Low,Between 30 and 41,2 people
459091,M,Yes,72,Yes,Artist,Average,Over 53,5 or more people
459093,F,Yes,41,Yes,Doctor,Average,Between 30 and 41,2 people
459100,F,No,61,Yes,Artist,Low,Over 53,1 person
459106,M,Yes,62,Yes,Artist,Low,Over 53,2 people
459114,M,Yes,56,Yes,Artist,Average,Over 53,2 people
459116,M,Yes,60,Yes,Artist,Average,Over 53,5 or more people
459117,M,Yes,68,Yes,Artist,High,Over 53,2 people
459118,M,No,19,No,Healthcare,Low,Under 30,5 or more people
459119,M,Yes,57,Yes,Executive,High,Over 53,3 or 4 people
459120,M,No,19,No,Healthcare,Low,Under 30,5 or more people
459121,F,Yes,51,Yes,Artist,Average,Between 41 and 53,5 or more people
459123,F,Yes,86,No,Artist,High,Over 53,2 people
459130,F,Yes,74,No,Lawyer,High,Over 53,2 people
459132,M,No,23,No,Entertainment,Low,Under 30,2 people
459136,M,Yes,47,Yes,Artist,Average,Between 41 and 53,2 people
459140,F,No,19,No,Healthcare,Low,Under 30,5 or more people
459143,M,Yes,50,No,Artist,High,Between 41 and 53,3 or 4 people
459144,M,Yes,80,Yes,Lawyer,High,Over 53,2 people
459145,M,Yes,78,No,Lawyer,Low,Over 53,1 person
459150,F,No,48,Yes,Doctor,Low,Between 41 and 53,1 person
459160,M,Yes,70,Yes,Doctor,Average,Over 53,2 people
459161,M,Yes,50,Yes,Executive,High,Between 41 and 53,5 or more people
459162,F,Yes,83,Yes,Lawyer,High,Over 53,2 people
459163,M,No,35,Yes,Entertainment,Low,Between 30 and 41,1 person
459167,F,No,36,Yes,Artist,Low,Between 30 and 41,2 people
459170,F,No,35,Yes,Artist,Low,Between 30 and 41,1 person
459171,M,Yes,35,Yes,Artist,Average,Between 30 and 41,2 people
459172,M,No,18,No,Healthcare,Low,Under 30,3 or 4 people
459175,F,Yes,73,Yes,Artist,Average,Over 53,2 people
459181,M,Yes,62,No,Artist,High,Over 53,3 or 4 people
459182,F,Yes,46,Yes,Artist,Average,Between 41 and 53,2 people
459184,M,Yes,43,Yes,Entertainment,Low,Between 41 and 53,3 or 4 people
459185,F,No,32,Yes,Entertainment,Low,Between 30 and 41,1 person
459193,M,No,39,Yes,Artist,Low,Between 30 and 41,1 person
459194,F,Yes,89,Yes,Lawyer,High,Over 53,2 people
459196,F,No,18,No,Healthcare,Low,Under 30,3 or 4 people
459208,F,Yes,57,Yes,Artist,High,Over 53,2 people
459209,F,No,18,No,Entertainment,Low,Under 30,3 or 4 people
459210,F,Yes,71,Yes,Artist,High,Over 53,2 people
459212,F,Yes,69,Yes,Artist,Average,Over 53,2 people
459213,F,No,42,Yes,Healthcare,Low,Between 41 and 53,3 or 4 people
459216,F,No,36,Yes,Artist,Low,Between 30 and 41,2 people
459220,F,Yes,80,Yes,Lawyer,High,Over 53,2 people
459221,M,Yes,69,No,Entertainment,Low,Over 53,1 person
459222,F,Yes,67,Yes,Artist,Average,Over 53,3 or 4 people
459223,F,Yes,47,Yes,Doctor,Average,Between 41 and 53,3 or 4 people
459224,F,Yes,49,Yes,Artist,Average,Between 41 and 53,2 people
459227,F,Yes,32,No,Engineer,Low,Between 30 and 41,3 or 4 people
459229,F,Yes,65,Yes,Lawyer,Average,Over 53,3 or 4 people
459236,F,Yes,78,No,Lawyer,High,Over 53,2 people
459237,M,No,33,Yes,Artist,Low,Between 30 and 41,5 or more people
459244,M,Yes,48,Yes,Artist,Low,Between 41 and 53,1 person
459247,M,Yes,58,Yes,Executive,Average,Over 53,5 or more people
459258,F,Yes,83,Yes,Lawyer,High,Over 53,2 people
459263,F,No,30,No,Healthcare,Low,Under 30,3 or 4 people
459264,F,No,35,Yes,Artist,Low,Between 30 and 41,2 people
