ID;Gender;Ever_Married;Graduated;Profession;Spending_Score;Age_Category;Family_Size_Cat
458989;F;Yes;Yes;Engineer;Low;Between 30 and 41;1 person
458994;M;Yes;Yes;Healthcare;Average;Between 30 and 41;3 or 4 people
458996;F;Yes;No;;Low;Over 53;1 person
459000;M;Yes;No;Executive;High;Over 53;2 people
459001;F;No;No;Marketing;Low;Under 30;3 or 4 people
459003;M;Yes;Yes;Doctor;High;Between 41 and 53;5 or more people
459005;M;Yes;Yes;Doctor;Low;Over 53;3 or 4 people
459008;F;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
459013;M;Yes;Yes;Artist;Average;Between 41 and 53;3 or 4 people
459014;M;No;No;Healthcare;Low;Under 30;3 or 4 people
459015;M;No;No;Healthcare;Low;Under 30;3 or 4 people
459016;F;No;No;Healthcare;Low;Under 30;5 or more people
459024;M;Yes;Yes;Artist;Average;Between 41 and 53;5 or more people
459026;M;No;No;Healthcare;Low;Under 30;3 or 4 people
459032;M;No;No;Doctor;Low;Under 30;3 or 4 people
459033;F;Yes;Yes;Artist;Low;Over 53;1 person
459036;F;Yes;Yes;Lawyer;Average;Under 30;3 or 4 people
459039;M;Yes;Yes;Artist;Average;Between 41 and 53;2 people
459041;M;Yes;Yes;Artist;Low;Over 53;1 person
459045;F;Yes;Yes;Lawyer;Average;Over 53;3 or 4 people
459056;M;Yes;No;Executive;High;Over 53;3 or 4 people
459057;M;Yes;No;Lawyer;High;Over 53;2 people
459058;M;No;Yes;Artist;Low;Between 41 and 53;3 or 4 people
459059;M;Yes;No;Executive;High;Over 53;2 people
459061;F;Yes;Yes;Healthcare;High;Between 30 and 41;3 or 4 people
459064;M;Yes;No;Executive;High;Under 30;3 or 4 people
459065;M;Yes;Yes;Engineer;Low;Between 41 and 53;2 people
459074;F;No;Yes;Healthcare;Low;Under 30;3 or 4 people
459077;F;Yes;No;Lawyer;High;Over 53;2 people
459079;M;Yes;Yes;Lawyer;High;Over 53;2 people
459080;M;Yes;No;Lawyer;Low;Over 53;2 people
459083;M;Yes;Yes;Artist;Average;Over 53;3 or 4 people
459090;M;No;No;Artist;Low;Between 30 and 41;2 people
459091;M;Yes;Yes;Artist;Average;Over 53;5 or more people
459093;F;Yes;Yes;Doctor;Average;Between 30 and 41;2 people
459100;F;No;Yes;Artist;Low;Over 53;1 person
459106;M;Yes;Yes;Artist;Low;Over 53;2 people
459114;M;Yes;Yes;Artist;Average;Over 53;2 people
459116;M;Yes;Yes;Artist;Average;Over 53;5 or more people
459117;M;Yes;Yes;Artist;High;Over 53;2 people
459118;M;No;No;Healthcare;Low;Under 30;5 or more people
459119;M;Yes;Yes;Executive;High;Over 53;3 or 4 people
459120;M;No;No;Healthcare;Low;Under 30;5 or more people
459121;F;Yes;Yes;Artist;Average;Between 41 and 53;5 or more people
459123;F;Yes;No;Artist;High;Over 53;2 people
459130;F;Yes;No;Lawyer;High;Over 53;2 people
459132;M;No;No;Entertainment;Low;Under 30;2 people
459136;M;Yes;Yes;Artist;Average;Between 41 and 53;2 people
459140;F;No;No;Healthcare;Low;Under 30;5 or more people
459143;M;Yes;No;Artist;High;Between 41 and 53;3 or 4 people
459144;M;Yes;Yes;Lawyer;High;Over 53;2 people
459145;M;Yes;No;Lawyer;Low;Over 53;1 person
459150;F;No;Yes;Doctor;Low;Between 41 and 53;1 person
459160;M;Yes;Yes;Doctor;Average;Over 53;2 people
459161;M;Yes;Yes;Executive;High;Between 41 and 53;5 or more people
459162;F;Yes;Yes;Lawyer;High;Over 53;2 people
459163;M;No;Yes;Entertainment;Low;Between 30 and 41;1 person
459167;F;No;Yes;Artist;Low;Between 30 and 41;2 people
459170;F;No;Yes;Artist;Low;Between 30 and 41;1 person
459171;M;Yes;Yes;Artist;Average;Between 30 and 41;2 people
459172;M;No;No;Healthcare;Low;Under 30;3 or 4 people
459175;F;Yes;Yes;Artist;Average;Over 53;2 people
459181;M;Yes;No;Artist;High;Over 53;3 or 4 people
459182;F;Yes;Yes;Artist;Average;Between 41 and 53;2 people
459184;M;Yes;Yes;Entertainment;Low;Between 41 and 53;3 or 4 people
459185;F;No;Yes;Entertainment;Low;Between 30 and 41;1 person
459193;M;No;Yes;Artist;Low;Between 30 and 41;1 person
459194;F;Yes;Yes;Lawyer;High;Over 53;2 people
459196;F;No;No;Healthcare;Low;Under 30;3 or 4 people
459208;F;Yes;Yes;Artist;High;Over 53;2 people
459209;F;No;No;Entertainment;Low;Under 30;3 or 4 people
459210;F;Yes;Yes;Artist;High;Over 53;2 people
459212;F;Yes;Yes;Artist;Average;Over 53;2 people
459213;F;No;Yes;Healthcare;Low;Between 41 and 53;3 or 4 people
459216;F;No;Yes;Artist;Low;Between 30 and 41;2 people
459220;F;Yes;Yes;Lawyer;High;Over 53;2 people
459221;M;Yes;No;Entertainment;Low;Over 53;1 person
459222;F;Yes;Yes;Artist;Average;Over 53;3 or 4 people
459223;F;Yes;Yes;Doctor;Average;Between 41 and 53;3 or 4 people
459224;F;Yes;Yes;Artist;Average;Between 41 and 53;2 people
459227;F;Yes;No;Engineer;Low;Between 30 and 41;3 or 4 people
459229;F;Yes;Yes;Lawyer;Average;Over 53;3 or 4 people
459236;F;Yes;No;Lawyer;High;Over 53;2 people
459237;M;No;Yes;Artist;Low;Between 30 and 41;5 or more people
459244;M;Yes;Yes;Artist;Low;Between 41 and 53;1 person
459247;M;Yes;Yes;Executive;Average;Over 53;5 or more people
459258;F;Yes;Yes;Lawyer;High;Over 53;2 people
459263;F;No;No;Healthcare;Low;Under 30;3 or 4 people
459264;F;No;Yes;Artist;Low;Between 30 and 41;2 people
459266;M;No;Yes;Healthcare;Low;Between 30 and 41;5 or more people
459270;M;Yes;Yes;Homemaker;High;Over 53;2 people
459284;F;Yes;Yes;Lawyer;High;Over 53;2 people
459287;M;No;Yes;Lawyer;Low;Between 41 and 53;1 person
459288;M;Yes;Yes;Artist;Low;Between 30 and 41;2 people
459289;M;No;Yes;Doctor;Low;Between 41 and 53;1 person
